Date;Start;End;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Sep 2, 2022;9:00 PM;10:00 PM;4,519.75;1,134.25;5,402.25;18,275.75;0;114;3,990.5;11,433.75;10,221.25;2,803.25;620;1,289.5
Sep 2, 2022;10:00 PM;11:00 PM;4,385.25;1,174.75;5,770;19,199.25;0;114.25;3,995;11,287;9,048.5;2,141.25;290.5;1,294.25
Sep 2, 2022;11:00 PM;12:00 AM;4,295.25;1,168;5,815.75;19,097.75;0;115;3,997.5;11,138.5;7,478;1,676.75;588.5;1,276
Sep 3, 2022;12:00 AM;1:00 AM;4,200.75;1,182;5,824.25;18,290.75;0;115;4,001.75;11,441;5,859;1,557;346;1,139.75
Sep 3, 2022;1:00 AM;2:00 AM;4,170.75;1,169;5,736.25;17,524.25;0;115.5;4,003.75;11,584.25;5,003.25;1,539.75;146;1,138.75
Sep 3, 2022;2:00 AM;3:00 AM;4,167.25;1,158.25;5,484.5;16,682.75;0;116;4,006.5;11,610.5;4,774.5;1,533;202.25;1,148.75
Sep 3, 2022;3:00 AM;4:00 AM;4,157.75;1,112;5,230;15,972;0;116;4,008.5;11,636.5;4,754;1,542.5;90.25;1,147.25
Sep 3, 2022;4:00 AM;5:00 AM;4,155.5;1,185;4,856;15,124;0;116;4,014.5;11,695.5;4,729.25;1,528.75;67.25;1,140
Sep 3, 2022;5:00 AM;6:00 AM;4,181;1,088.25;4,785.25;14,681.75;0;115.5;4,019.75;11,683.25;4,959.25;1,520.5;431.5;1,140.25
Sep 3, 2022;6:00 AM;7:00 AM;4,335;1,110.25;4,661.75;14,946.75;108.75;116;4,021.25;11,702.75;5,015.75;1,525.25;696.25;1,145.75
Sep 3, 2022;7:00 AM;8:00 AM;4,468.5;1,103;4,762.75;13,443;2,513;115.5;4,025.5;11,670.75;4,999.25;1,547;2,262;1,148.25
Sep 3, 2022;8:00 AM;9:00 AM;4,530.25;1,117.25;4,802;9,907;8,443;114.25;4,024.5;11,676.75;5,003.25;1,559;4,088.75;1,140.75
Sep 3, 2022;9:00 AM;10:00 AM;4,465.5;1,090;4,754.25;7,621;15,631.5;113.5;4,018.75;11,587.5;4,625.5;1,527;2,390.25;1,138.25
Sep 3, 2022;10:00 AM;11:00 AM;4,336.25;1,099;4,806.25;8,501.75;22,082.75;113;4,014.75;11,256.25;3,993;1,447.75;189.25;1,129.75
Sep 3, 2022;11:00 AM;12:00 PM;4,218.75;1,079;4,757.25;11,803.5;26,800.25;112.25;4,006.5;9,246.25;3,303.75;1,380.75;23.75;1,089
Sep 3, 2022;12:00 PM;1:00 PM;4,173.25;1,128.25;3,314.5;12,839.75;28,368.75;112;3,994;6,790.5;2,960.25;1,364.5;12.5;1,134
Sep 3, 2022;1:00 PM;2:00 PM;4,182.5;1,163.75;2,280.25;12,330.75;27,265;111.25;3,980.75;6,443;2,974.75;1,351.5;2.25;1,126
Sep 3, 2022;2:00 PM;3:00 PM;4,163.75;1,201.25;1,989.75;12,196.5;23,916.5;111;3,973.75;7,097.75;3,006.25;1,354;68.25;1,125
Sep 3, 2022;3:00 PM;4:00 PM;4,168.5;1,184.5;2,669;11,548.25;19,638.25;111;3,974.5;10,604.25;3,154.5;1,373.5;414;1,135
Sep 3, 2022;4:00 PM;5:00 PM;4,275.5;1,137.5;2,792;12,022.5;14,699.5;112;3,973;11,543;3,886.75;1,414;191.75;1,170.5
Sep 3, 2022;5:00 PM;6:00 PM;4,448.25;1,148.75;3,873.25;12,261.5;9,502;114;3,972;11,674.5;4,791;1,595;1,351.5;1,185.75
Sep 3, 2022;6:00 PM;7:00 PM;4,604.75;1,269;4,280.25;11,622.25;4,153;114;3,971.75;11,761.75;5,782.5;1,791;4,809.75;1,176.75
Sep 3, 2022;7:00 PM;8:00 PM;4,659.25;1,403;4,905.5;10,499.75;772.5;114;3,971;11,657;6,221.25;1,711.5;6,581.75;1,185
Sep 3, 2022;8:00 PM;9:00 PM;4,643;1,297;5,337.5;12,031.5;2.25;114;3,974.25;11,691.75;6,277.5;1,822;6,265.75;1,189
Sep 3, 2022;9:00 PM;10:00 PM;4,572.5;1,187.25;5,554;13,885;0;114.75;3,980.5;11,569;6,206.25;1,584.5;2,682.75;1,184.25
Sep 3, 2022;10:00 PM;11:00 PM;4,457;1,261;5,667.25;13,718;0;115;3,986.25;11,651.75;5,662.5;1,565.25;1,297.75;1,186.5
Sep 3, 2022;11:00 PM;12:00 AM;4,367;1,227.75;5,687.75;13,106;0;115;3,988;11,676;5,576.75;1,469.5;372.75;1,183.25
Sep 4, 2022;12:00 AM;1:00 AM;4,240.5;1,211.25;5,902.5;11,998;0;115;3,992.75;11,723.5;5,161;1,599.25;342.25;1,159.75
Sep 4, 2022;1:00 AM;2:00 AM;4,194.25;1,127;5,726.25;11,114.5;0;115;3,994.25;11,684.5;4,728.5;1,458.75;229.75;1,150.5
Sep 4, 2022;2:00 AM;3:00 AM;4,145;1,125.5;5,622;10,638.5;0;115;3,997.75;11,665;4,714.75;1,494.25;125.25;1,153
Sep 4, 2022;3:00 AM;4:00 AM;4,138.75;1,117.25;5,253.5;9,581;0;115;4,006.25;12,040.5;4,637.25;1,440.75;125.5;1,152.5
Sep 4, 2022;4:00 AM;5:00 AM;4,176.75;1,139.5;4,669.25;8,806;0;115;4,009.75;12,113.25;4,739.75;1,471;239.25;1,152.5
Sep 4, 2022;5:00 AM;6:00 AM;4,208.25;1,165;4,119;8,370;0;115;4,012.5;12,163;4,964;1,490.25;255.5;1,148.75
Sep 4, 2022;6:00 AM;7:00 AM;4,335;1,121.75;3,702.25;8,324.5;84.75;115;4,014.5;12,163;5,351.25;1,503.5;154.5;1,150.75
Sep 4, 2022;7:00 AM;8:00 AM;4,388.25;1,250.75;3,456.75;7,120.5;2,381.75;115;4,019.25;12,181.25;5,404.25;1,482;303.75;1,148.25
Sep 4, 2022;8:00 AM;9:00 AM;4,419.25;1,305.75;3,232.5;4,732.5;8,335.5;114.25;4,016.25;12,150.5;5,061.75;1,489.5;582.5;1,155
Sep 4, 2022;9:00 AM;10:00 AM;4,372.75;1,300.5;2,968.5;3,026.25;16,666.25;113;4,009.75;12,384.25;5,223.25;1,423.75;292.75;1,146
Sep 4, 2022;10:00 AM;11:00 AM;4,264.25;1,261;2,963;2,694.25;24,651;112.25;4,001.75;12,318;4,105.75;1,401.75;103.5;1,138.75
Sep 4, 2022;11:00 AM;12:00 PM;4,207.25;1,269.25;2,598.75;3,157.75;30,000.25;112;3,992.75;10,595.5;3,065;1,337;51.5;1,145
Sep 4, 2022;12:00 PM;1:00 PM;4,160.75;1,273.5;2,617.5;4,222.75;31,916.75;111;3,981.75;7,645;2,637.75;1,333;41.5;1,143.25
Sep 4, 2022;1:00 PM;2:00 PM;4,141.5;1,274.5;2,403.25;5,241.5;30,837.25;111;3,969;7,125.5;2,387.25;1,319.75;50;1,141.25
Sep 4, 2022;2:00 PM;3:00 PM;4,133.5;1,271.5;2,126;5,094.75;28,634.25;111;3,969.5;8,553;2,407;1,296.25;22;1,130.75
Sep 4, 2022;3:00 PM;4:00 PM;4,156.25;1,254.25;2,041;4,476.25;25,210.75;111;3,969.25;11,536.75;2,769.5;1,330;93.75;1,145
